Product ID,ERP Product Family,Product Description,Product Bulletin ID,Product Bulletin URL,End of Sale Date,End of Security/Vulnerability ,Last Date of Support
WIC-2T,WANLAN,^2-Port Serial WAN Interface Card,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
WIC-2T=,WANLAN,^2-Port Serial WAN Interface Card spare,EOL6640,http://www.cisco.com/en/US/prod/collateral/routers/ps5854/eol_c51_513300.html,12/28/09,N/A,12/31/14
WSA,SERVICE,SA Prod CiscoSvc,N/A,N/A,N/A,N/A,N/A
WSA-S170-K9,WSA,^WSA S170 Web Security Appliance with Software,EOL10894,http://www.cisco.com/c/en/us/products/collateral/security/web-security-appliance/eos-eol-notice-c51-737103.html,11/8/16,11/8/19,11/30/21
WSA-S190-K9,WSA,^^WSA S190 Web Security Appliance,EOL12972,https://www.cisco.com/c/en/us/products/collateral/security/email-security-appliance/eos-eol-notice-c51-742450.html,6/12/19,6/30/24,6/30/24
WSA-S380-K9,WSA,^^WSA S380 Web Security Appliance,EOL10894,http://www.cisco.com/c/en/us/products/collateral/security/web-security-appliance/eos-eol-notice-c51-737103.html,11/8/16,11/8/19,11/30/21
WSA-S390-K9,WSA,^^WSA S390 WebSecurity Appliance,EOL12972,https://www.cisco.com/c/en/us/products/collateral/security/email-security-appliance/eos-eol-notice-c51-742450.html,6/12/19,6/30/24,6/30/24
WSA-S680-K9,WSA,^^WSA S680 Web Security Appliance with Software,EOL10894,http://www.cisco.com/c/en/us/products/collateral/security/web-security-appliance/eos-eol-notice-c51-737103.html,11/8/16,11/8/19,11/30/21
WSA-S690-K9,WSA,^^WSA S690 Web Security Appliance,EOL12972,https://www.cisco.com/c/en/us/products/collateral/security/email-security-appliance/eos-eol-notice-c51-742450.html,6/12/19,6/30/24,6/30/24
WS-C2960+24PC-L,C2960P,Catalyst 2960 Plus 24 10/100 PoE + 2 T/SFP   LAN Base,EOL13612,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-plus-series-switches/eos-eol-notice-c51-744423.html,10/31/21,10/31/26,10/31/26
WS-C2960+48TC-L,C2960P,Catalyst 2960 Plus 48 10/100 + 2 T/SFP LAN Base,EOL13612,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-plus-series-switches/eos-eol-notice-c51-744423.html,10/31/21,10/31/26,10/31/26
WS-C2960-24PC-L,C2960,^^^Catalyst 2960 24 10/100 PoE + 2 T/SFP   LAN Base Image,EOL9449,http://www.cisco.com/en/US/prod/collateral/switches/ps5718/ps6406/eos-eol-notice-c51-730121.html,10/31/14,10/30/17,10/31/19
